'{0}' is not a folder.,'{0}' אינו תיקייה.
(empty),(ריק)
A bulk request cannot contain more than 500 selected nodes,בקשה קבוצתית לא יכולה להכיל יותר מ-500 צמתים שנבחרו
A chat model is registered,מודל צ׳אט רשום
A conflicting candidate cannot be approved automatically.,אי אפשר לאשר אוטומטית מועמד בהתנגשות.
A conflicting process deadline is already active; tool execution was refused.,יש כבר דדליין תהליך בהתנגשות; הרצת הכלי סורבה.
A cron schedule is required for a scheduled pipeline.,תזמון Cron נדרש לצינור מתוזמן.
A cycle exists in the parent Pipeline Run chain.,קיים מעגל בשרשרת הרצות הצינור האב.
A decided candidate cannot be processed again.,אי אפשר לעבד שוב מועמד שכבר הוכרעה גורלו.
A default chat model is selected,מודל צ׳אט ברירת מחדל נבחר
A DocType is required.,נדרש DocType.
A document named {0} already exists in the destination.,מסמך בשם {0} כבר קיים ביעד.
A document named {0} already exists in this folder.,מסמך בשם {0} כבר קיים בתיקייה הזאת.
A document named {0} already exists in {1}.,מסמך בשם {0} כבר קיים ב-{1}.
A File identity (file_name) or file URL is required.,נדרש מזהה קובץ (file_name) או כתובת URL של קובץ.
A file in this folder is still used by a document outside the selected subtree.,קובץ בתיקייה הזאת עדיין בשימוש של מסמך מחוץ לעץ המשנה שנבחר.
A filter list supports at most {0} values.,רשימת מסננים תומכת ב-{0} ערכים לכל היותר.
A filter value supports at most {0} characters.,ערך מסנן תומך ב-{0} תווים לכל היותר.
A folder cannot be copied into itself or its descendant.,אי אפשר להעתיק תיקייה לתוך עצמה או לצאצא שלה.
A folder cannot be moved into itself or its descendant.,אי אפשר להעביר תיקייה לתוך עצמה או לצאצא שלה.
A folder cannot be used as a document source file.,אי אפשר להשתמש בתיקייה כקובץ מקור של מסמך.
A knowledge base exists,קיים בסיס ידע
A local model pull was requested for {0} on {1}.,בוקשה משיכת מודל מקומית עבור {0} ב-{1}.
A model name is required.,נדרש שם מודל.
A new knowledge candidate must start in Draft status.,מועמד ידע חדש חייב להתחיל בסטטוס טיוטה.
A pipeline is required for a Pipeline task.,צינור נדרש למשימת Pipeline.
A pipeline needs at least one step.,צינור זקוק לפחות לשלב אחד.
"A policy applies to either a role or a user, not both.","מדיניות חלה על תפקיד או על משתמש, לא על שניהם."
A policy must apply to either a role or a user.,מדיניות חייבת לחול על תפקיד או על משתמש.
A provider is configured,ספק מוגדר
A provider is reachable,ספק בהישג יד
A query supports at most {0} filter keys.,שאילתה תומכת ב-{0} מפתחות מסנן לכל היותר.
A selected folder is not empty. Confirm recursive deletion first.,תיקייה שנבחרה אינה ריקה. אשר קודם מחיקה רקורסיבית.
A source file is required when Source Type is File.,קובץ מקור נדרש כאשר סוג המקור הוא קובץ.
A source URL is required when Source Type is URL.,כתובת URL של מקור נדרשת כאשר סוג המקור הוא URL.
A source URL is required.,כתובת URL של מקור נדרשת.
A stable Source File record is required for file-backed documents.,רשומת קובץ מקור יציבה נדרשת עבור מסמכים מבוססי קובץ.
A valid AI Provider is required.,נדרש ספק בינה מלאכותית תקף.
A valid authenticated processing user is required.,נדרש משתמש מעבד תקף ומאומת.
A valid enabled translation requester is required.,נדרש מבקש תרגום תקף ומופעל.
Accept this translation as reviewed?,לקבל את התרגום הזה כנבדק?
Access,גישה
Access Control,בקרת גישה
Access Policy,מדיניות גישה
Action,פעולה
Actions,פעולות
Active,פעיל
Adapter,מתאם
Adapter for {0} must derive from BaseProvider.,המתאם ל-{0} חייב לרשת מ-BaseProvider.
Add,הוסף
Add Folder to Favorites,הוסף תיקייה למועדפים
Add Text,הוסף טקסט
Add Text to Knowledge Base,הוסף טקסט לבסיס הידע
Add to Knowledge Base,הוסף לבסיס הידע
Add to {0},הוסף אל {0}
Additional Allowed Hosts,מארחים מותרים נוספים
Additional fields that generic AI document tools must never expose. One per line: a bare fieldname applies to every DocType; 'Doctype.fieldname' scopes the entry to one DocType. Password fields and common credential field names are always denied.,שדות נוספים שכלים גנריים של מסמכי בינה מלאכותית לעולם אסור להם לחשוף. שורה לכל אחד: שם שדה חשוף חל על כל DocType; הצורה 'Doctype.fieldname' מגבילה את הרשומה ל-DocType יחיד. שדות סיסמה ושמות שדות אישורים נפוצים תמיד נדחים.
Advanced Parameters,פרמטרים מתקדמים
Agent,סוכן
Agent Name,שם הסוכן
Agent Response,תגובת הסוכן
Agents,סוכנים
Agents & Tools,סוכנים וכלים
AI Agent {0} is disabled.,סוכן הבינה המלאכותית {0} מושבת.
AI Answer,תשובת בינה מלאכותית
AI Assistant,עוזר בינה מלאכותית
AI Automation,אוטומציית בינה מלאכותית
AI Control Center,מרכז בקרה של הבינה המלאכותית
AI Document,מסמך בינה מלאכותית
AI document ingestion failed: {0},קליטת מסמך בינה מלאכותית נכשלה: {0}
AI Document {0} does not exist.,מסמך בינה מלאכותית {0} לא קיים.
AI Documents,מסמכי בינה מלאכותית
AI Error,שגיאת בינה מלאכותית
AI Knowledge,ידע בינה מלאכותית
AI Learning,למידת בינה מלאכותית
AI Model Manager,מנהל מודלי הבינה המלאכותית
AI Model {0} is disabled.,מודל בינה מלאכותית {0} מושבת.
AI Operations,תפעול בינה מלאכותית
AI Provider Offline: {0},ספק בינה מלאכותית לא מקוון: {0}
AI Provider {0} does not exist.,ספק בינה מלאכותית {0} לא קיים.
AI Provider {0} has no Custom Adapter Path set.,לספק בינה מלאכותית {0} לא הוגדר נתיב מתאם מותאם.
AI Provider {0} is disabled.,ספק בינה מלאכותית {0} מושבת.
AI Tasks,משימות בינה מלאכותית
AI Workspace,סביבת עבודה של הבינה המלאכותית
Alert on Provider Offline,התראה כשהספק לא מקוון
Alert Recipients,נמעני התראה
All Documents,כל המסמכים
All entities,כל הישויות
All Logs,כל היומנים
All providers,כל הספקים
