#,#
'{0}' is not a folder.,'{0}' is not a folder.
(empty),(empty)
A bulk request cannot contain more than 500 selected nodes,A bulk request cannot contain more than 500 selected nodes
A chat model is registered,A chat model is registered
A conflicting candidate cannot be approved automatically.,A conflicting candidate cannot be approved automatically.
A conflicting process deadline is already active; tool execution was refused.,A conflicting process deadline is already active; tool execution was refused.
A cron schedule is required for a scheduled pipeline.,A cron schedule is required for a scheduled pipeline.
A cycle exists in the parent Pipeline Run chain.,A cycle exists in the parent Pipeline Run chain.
A decided candidate cannot be processed again.,A decided candidate cannot be processed again.
A default chat model is selected,A default chat model is selected
A DocType is required.,A DocType is required.
A document named {0} already exists in the destination.,A document named {0} already exists in the destination.
A document named {0} already exists in this folder.,A document named {0} already exists in this folder.
A document named {0} already exists in {1}.,A document named {0} already exists in {1}.
A File identity (file_name) or file URL is required.,A File identity (file_name) or file URL is required.
A file in this folder is still used by a document outside the selected subtree.,A file in this folder is still used by a document outside the selected subtree.
A filter list supports at most {0} values.,A filter list supports at most {0} values.
A filter value supports at most {0} characters.,A filter value supports at most {0} characters.
A folder cannot be copied into itself or its descendant.,A folder cannot be copied into itself or its descendant.
A folder cannot be moved into itself or its descendant.,A folder cannot be moved into itself or its descendant.
A folder cannot be used as a document source file.,A folder cannot be used as a document source file.
A knowledge base exists,A knowledge base exists
A local model pull was requested for {0} on {1}.,A local model pull was requested for {0} on {1}.
A model name is required.,A model name is required.
A new knowledge candidate must start in Draft status.,A new knowledge candidate must start in Draft status.
A pipeline is required for a Pipeline task.,A pipeline is required for a Pipeline task.
A pipeline needs at least one step.,A pipeline needs at least one step.
"A policy applies to either a role or a user, not both.","A policy applies to either a role or a user, not both."
A policy must apply to either a role or a user.,A policy must apply to either a role or a user.
A provider is configured,A provider is configured
A provider is reachable,A provider is reachable
A query supports at most {0} filter keys.,A query supports at most {0} filter keys.
A selected folder is not empty. Confirm recursive deletion first.,A selected folder is not empty. Confirm recursive deletion first.
A source file is required when Source Type is File.,A source file is required when Source Type is File.
A source URL is required when Source Type is URL.,A source URL is required when Source Type is URL.
A source URL is required.,A source URL is required.
A stable Source File record is required for file-backed documents.,A stable Source File record is required for file-backed documents.
A valid AI Provider is required.,A valid AI Provider is required.
A valid authenticated processing user is required.,A valid authenticated processing user is required.
A valid enabled translation requester is required.,A valid enabled translation requester is required.
Accept this translation as reviewed?,Accept this translation as reviewed?
Access,Access
Access Control,Access Control
Access Policy,Access Policy
Action,Action
Actions,Actions
Active,Active
Adapter,Adapter
Adapter for {0} must derive from BaseProvider.,Adapter for {0} must derive from BaseProvider.
Add,Add
Add Folder to Favorites,Add Folder to Favorites
Add Text,Add Text
Add Text to Knowledge Base,Add Text to Knowledge Base
Add to Knowledge Base,Add to Knowledge Base
Add to {0},Add to {0}
Additional Allowed Hosts,Additional Allowed Hosts
Additional fields that generic AI document tools must never expose. One per line: a bare fieldname applies to every DocType; 'Doctype.fieldname' scopes the entry to one DocType. Password fields and common credential field names are always denied.,Additional fields that generic AI document tools must never expose. One per line: a bare fieldname applies to every DocType; 'Doctype.fieldname' scopes the entry to one DocType. Password fields and common credential field names are always denied.
Advanced Parameters,Advanced Parameters
after_insert,after_insert
Agent,Agent
Agent Name,Agent Name
Agent Response,Agent Response
Agents,Agents
Agents & Tools,Agents & Tools
AI,AI
AI Agent {0} is disabled.,AI Agent {0} is disabled.
AI Answer,AI Answer
AI Assistant,AI Assistant
AI Automation,AI Automation
AI Control Center,AI Control Center
AI Document,AI Document
AI document ingestion failed: {0},AI document ingestion failed: {0}
AI Document {0} does not exist.,AI Document {0} does not exist.
AI Documents,AI Documents
AI Error,AI Error
AI Knowledge,AI Knowledge
AI Learning,AI Learning
AI Memory must be created by approving an AI Knowledge Candidate.,AI Memory must be created by approving an AI Knowledge Candidate.
AI Model Manager,AI Model Manager
AI Model {0} is disabled.,AI Model {0} is disabled.
AI Operations,AI Operations
AI Provider Offline: {0},AI Provider Offline: {0}
AI Provider {0} does not exist.,AI Provider {0} does not exist.
AI Provider {0} has no Custom Adapter Path set.,AI Provider {0} has no Custom Adapter Path set.
AI Provider {0} is disabled.,AI Provider {0} is disabled.
AI Skill must be created by approving an AI Knowledge Candidate.,AI Skill must be created by approving an AI Knowledge Candidate.
AI Tasks,AI Tasks
AI Workspace,AI Workspace
AI-CAND-.YYYY.-,AI-CAND-.YYYY.-
AI-MEM-.YYYY.-,AI-MEM-.YYYY.-
AICONV-.YYYY.-,AICONV-.YYYY.-
AIDOC-.YYYY.-,AIDOC-.YYYY.-
AIRUN-.YYYY.-,AIRUN-.YYYY.-
AITASK-.YYYY.-,AITASK-.YYYY.-
AITRN-.YYYY.-,AITRN-.YYYY.-
Alert on Provider Offline,Alert on Provider Offline
Alert Recipients,Alert Recipients
All Documents,All Documents
All entities,All entities
All Logs,All Logs
All providers,All providers
Allow Document Upload,Allow Document Upload
Allow Learning (Teach & Recall),Allow Learning (Teach & Recall)
Allow Model Management,Allow Model Management
